id_,label,filename,x1,y1,x2,y2,pose,truncated,occluded,difficult
71,with_mask,maksssksksss21.xml,189,78,246,140,Unspecified,0,0,0
72,with_mask,maksssksksss21.xml,311,48,358,98,Unspecified,0,0,0
73,without_mask,maksssksksss21.xml,182,32,221,60,Unspecified,0,0,0
74,without_mask,maksssksksss757.xml,104,182,220,317,Unspecified,0,0,0
75,with_mask,maksssksksss629.xml,130,235,234,380,Unspecified,0,0,0
76,with_mask,maksssksksss284.xml,57,25,76,44,Unspecified,0,0,0
77,with_mask,maksssksksss284.xml,110,2,127,20,Unspecified,0,0,0
78,with_mask,maksssksksss284.xml,81,57,100,80,Unspecified,0,0,0
79,with_mask,maksssksksss284.xml,131,22,153,46,Unspecified,0,0,0
80,with_mask,maksssksksss284.xml,151,1,164,14,Unspecified,0,0,0
81,with_mask,maksssksksss284.xml,188,6,202,21,Unspecified,0,0,0
82,with_mask,maksssksksss284.xml,313,26,375,96,Unspecified,0,0,0
83,with_mask,maksssksksss666.xml,21,12,103,114,Unspecified,0,0,0
84,with_mask,maksssksksss666.xml,188,100,283,204,Unspecified,0,0,0
85,mask_weared_incorrect,maksssksksss666.xml,298,2,398,91,Unspecified,0,0,0
86,with_mask,maksssksksss228.xml,46,191,147,324,Unspecified,0,0,0
87,with_mask,maksssksksss421.xml,65,78,97,114,Unspecified,0,0,0
88,with_mask,maksssksksss421.xml,111,109,130,130,Unspecified,0,0,0
89,with_mask,maksssksksss421.xml,182,41,221,83,Unspecified,0,0,0
90,with_mask,maksssksksss421.xml,212,79,233,100,Unspecified,0,0,0
91,with_mask,maksssksksss421.xml,302,53,341,94,Unspecified,0,0,0
92,with_mask,maksssksksss353.xml,227,70,265,111,Unspecified,0,0,0
93,with_mask,maksssksksss725.xml,45,215,138,336,Unspecified,0,0,0
94,with_mask,maksssksksss507.xml,131,55,250,175,Unspecified,0,0,0
95,with_mask,maksssksksss166.xml,98,1,150,58,Unspecified,0,0,0
96,with_mask,maksssksksss166.xml,205,115,235,155,Unspecified,0,0,0
97,with_mask,maksssksksss166.xml,255,141,278,171,Unspecified,0,0,0
98,with_mask,maksssksksss166.xml,303,180,325,207,Unspecified,0,0,0
99,with_mask,maksssksksss166.xml,329,195,347,218,Unspecified,0,0,0
100,with_mask,maksssksksss166.xml,351,204,372,226,Unspecified,0,0,0
101,with_mask,maksssksksss39.xml,157,107,223,184,Unspecified,0,0,0
102,with_mask,maksssksksss39.xml,239,97,347,219,Unspecified,0,0,0
103,without_mask,maksssksksss624.xml,95,195,193,338,Unspecified,0,0,0
104,without_mask,maksssksksss161.xml,123,227,190,328,Unspecified,0,0,0
105,with_mask,maksssksksss472.xml,220,68,256,117,Unspecified,0,0,0
106,with_mask,maksssksksss676.xml,20,124,49,158,Unspecified,0,0,0
107,with_mask,maksssksksss676.xml,34,219,73,267,Unspecified,0,0,0
108,with_mask,maksssksksss676.xml,88,154,114,187,Unspecified,0,0,0
109,with_mask,maksssksksss676.xml,107,99,124,119,Unspecified,0,0,0
110,with_mask,maksssksksss676.xml,133,84,148,105,Unspecified,0,0,0
111,with_mask,maksssksksss676.xml,192,112,210,135,Unspecified,0,0,0
112,with_mask,maksssksksss676.xml,215,82,231,103,Unspecified,0,0,0
113,with_mask,maksssksksss676.xml,264,108,279,125,Unspecified,0,0,0
114,with_mask,maksssksksss676.xml,302,120,316,141,Unspecified,0,0,0
115,with_mask,maksssksksss676.xml,340,142,356,172,Unspecified,0,0,0
116,with_mask,maksssksksss676.xml,232,72,249,94,Unspecified,0,0,0
117,with_mask,maksssksksss88.xml,42,176,151,304,Unspecified,0,0,0
118,without_mask,maksssksksss71.xml,133,29,173,56,Unspecified,0,0,0
119,with_mask,maksssksksss71.xml,30,52,74,94,Unspecified,0,0,0
120,with_mask,maksssksksss71.xml,18,119,83,191,Unspecified,0,0,0
121,with_mask,maksssksksss71.xml,140,70,191,124,Unspecified,0,0,0
122,with_mask,maksssksksss71.xml,230,63,344,171,Unspecified,0,0,0
123,with_mask,maksssksksss71.xml,375,50,400,116,Unspecified,0,0,0
124,with_mask,maksssksksss158.xml,2,56,24,78,Unspecified,0,0,0
125,with_mask,maksssksksss158.xml,29,70,42,85,Unspecified,0,0,0
126,with_mask,maksssksksss158.xml,90,55,104,72,Unspecified,0,0,0
127,with_mask,maksssksksss158.xml,113,52,133,76,Unspecified,0,0,0
128,with_mask,maksssksksss158.xml,133,60,144,74,Unspecified,0,0,0
129,with_mask,maksssksksss158.xml,151,70,166,85,Unspecified,0,0,0
130,with_mask,maksssksksss158.xml,180,70,195,84,Unspecified,0,0,0
131,with_mask,maksssksksss158.xml,217,78,238,98,Unspecified,0,0,0
132,with_mask,maksssksksss158.xml,238,52,256,70,Unspecified,0,0,0
133,with_mask,maksssksksss158.xml,280,59,293,74,Unspecified,0,0,0
134,with_mask,maksssksksss158.xml,293,56,310,75,Unspecified,0,0,0
135,with_mask,maksssksksss158.xml,323,82,342,101,Unspecified,0,0,0
136,with_mask,maksssksksss158.xml,354,64,371,86,Unspecified,0,0,0
137,with_mask,maksssksksss158.xml,166,68,174,78,Unspecified,0,0,0
138,with_mask,maksssksksss439.xml,192,120,224,155,Unspecified,0,0,0
139,with_mask,maksssksksss439.xml,287,110,319,157,Unspecified,0,0,0
140,with_mask,maksssksksss439.xml,134,126,151,146,Unspecified,0,0,0
141,with_mask,maksssksksss439.xml,171,132,187,148,Unspecified,0,0,0
142,with_mask,maksssksksss350.xml,112,64,133,86,Unspecified,0,0,0
143,with_mask,maksssksksss350.xml,271,32,298,58,Unspecified,0,0,0
144,with_mask,maksssksksss369.xml,123,139,217,267,Unspecified,0,0,0
145,with_mask,maksssksksss242.xml,156,80,222,155,Unspecified,0,0,0
146,with_mask,maksssksksss62.xml,80,180,212,356,Unspecified,0,0,0
147,with_mask,maksssksksss98.xml,196,43,236,91,Unspecified,0,0,0
148,with_mask,maksssksksss98.xml,41,73,65,95,Unspecified,0,0,0
149,with_mask,maksssksksss98.xml,263,62,287,85,Unspecified,0,0,0
150,with_mask,maksssksksss98.xml,344,80,377,106,Unspecified,0,0,0
151,with_mask,maksssksksss376.xml,58,48,94,88,Unspecified,0,0,0
152,with_mask,maksssksksss376.xml,144,17,154,33,Unspecified,0,0,0
153,with_mask,maksssksksss376.xml,191,29,210,51,Unspecified,0,0,0
154,with_mask,maksssksksss376.xml,229,15,242,31,Unspecified,0,0,0
155,with_mask,maksssksksss376.xml,318,77,330,94,Unspecified,0,0,0
156,with_mask,maksssksksss376.xml,338,72,349,84,Unspecified,0,0,0
157,with_mask,maksssksksss376.xml,350,79,377,102,Unspecified,0,0,0
158,with_mask,maksssksksss648.xml,117,73,136,99,Unspecified,0,0,0
159,with_mask,maksssksksss648.xml,194,24,225,62,Unspecified,0,0,0
160,with_mask,maksssksksss648.xml,251,75,268,94,Unspecified,0,0,0
161,with_mask,maksssksksss427.xml,120,61,182,129,Unspecified,0,0,0
162,with_mask,maksssksksss427.xml,52,68,68,85,Unspecified,0,0,0
163,with_mask,maksssksksss427.xml,216,64,238,86,Unspecified,0,0,0
164,with_mask,maksssksksss427.xml,299,1,395,88,Unspecified,0,0,0
165,with_mask,maksssksksss799.xml,29,66,47,82,Unspecified,0,0,0
166,with_mask,maksssksksss799.xml,45,41,65,63,Unspecified,0,0,0
167,with_mask,maksssksksss799.xml,11,217,65,263,Unspecified,0,0,0
168,with_mask,maksssksksss799.xml,84,239,134,285,Unspecified,0,0,0
169,with_mask,maksssksksss799.xml,304,210,325,230,Unspecified,0,0,0
170,with_mask,maksssksksss799.xml,317,249,333,266,Unspecified,0,0,0
171,with_mask,maksssksksss799.xml,340,251,369,275,Unspecified,0,0,0
172,with_mask,maksssksksss781.xml,78,199,191,333,Unspecified,0,0,0
173,with_mask,maksssksksss46.xml,17,37,41,59,Unspecified,0,0,0
174,with_mask,maksssksksss46.xml,68,21,87,38,Unspecified,0,0,0
175,with_mask,maksssksksss46.xml,114,32,132,48,Unspecified,0,0,0
176,with_mask,maksssksksss46.xml,147,31,170,53,Unspecified,0,0,0
177,with_mask,maksssksksss46.xml,207,20,223,37,Unspecified,0,0,0
178,with_mask,maksssksksss46.xml,238,27,251,43,Unspecified,0,0,0
179,with_mask,maksssksksss46.xml,267,27,282,40,Unspecified,0,0,0
180,with_mask,maksssksksss46.xml,287,22,302,39,Unspecified,0,0,0
181,with_mask,maksssksksss46.xml,326,30,348,51,Unspecified,0,0,0
182,with_mask,maksssksksss46.xml,357,27,375,45,Unspecified,0,0,0
183,without_mask,maksssksksss404.xml,112,214,183,319,Unspecified,0,0,0
184,with_mask,maksssksksss75.xml,9,31,19,45,Unspecified,0,0,0
185,with_mask,maksssksksss75.xml,29,18,39,30,Unspecified,0,0,0
186,with_mask,maksssksksss75.xml,42,38,53,50,Unspecified,0,0,0
187,with_mask,maksssksksss75.xml,75,32,89,47,Unspecified,0,0,0
188,with_mask,maksssksksss75.xml,97,37,118,55,Unspecified,0,0,0
189,with_mask,maksssksksss75.xml,119,18,131,34,Unspecified,0,0,0
190,with_mask,maksssksksss75.xml,142,20,152,32,Unspecified,0,0,0
191,with_mask,maksssksksss75.xml,202,35,218,54,Unspecified,0,0,0
192,with_mask,maksssksksss75.xml,234,28,249,48,Unspecified,0,0,0
193,with_mask,maksssksksss75.xml,276,26,298,50,Unspecified,0,0,0
194,with_mask,maksssksksss75.xml,313,31,332,52,Unspecified,0,0,0
195,with_mask,maksssksksss75.xml,351,27,366,41,Unspecified,0,0,0
196,without_mask,maksssksksss75.xml,358,89,370,105,Unspecified,0,0,0
197,with_mask,maksssksksss213.xml,63,183,174,313,Unspecified,0,0,0
198,with_mask,maksssksksss804.xml,72,31,94,51,Unspecified,0,0,0
199,with_mask,maksssksksss804.xml,107,91,125,108,Unspecified,0,0,0
200,with_mask,maksssksksss804.xml,177,45,196,63,Unspecified,0,0,0
201,with_mask,maksssksksss804.xml,357,43,374,60,Unspecified,0,0,0
202,with_mask,maksssksksss804.xml,269,50,284,64,Unspecified,0,0,0
203,with_mask,maksssksksss804.xml,237,46,251,58,Unspecified,0,0,0
204,with_mask,maksssksksss804.xml,221,54,232,66,Unspecified,0,0,0
205,with_mask,maksssksksss804.xml,26,45,37,55,Unspecified,0,0,0
206,with_mask,maksssksksss804.xml,112,34,122,45,Unspecified,0,0,0
207,with_mask,maksssksksss804.xml,132,43,140,52,Unspecified,0,0,0
208,with_mask,maksssksksss804.xml,152,45,160,53,Unspecified,0,0,0
209,with_mask,maksssksksss804.xml,386,49,393,56,Unspecified,0,0,0
210,with_mask,maksssksksss186.xml,87,56,135,119,Unspecified,0,0,0
211,with_mask,maksssksksss535.xml,43,38,59,55,Unspecified,0,0,0
212,with_mask,maksssksksss535.xml,93,32,118,63,Unspecified,0,0,0
213,without_mask,maksssksksss535.xml,233,48,242,56,Unspecified,0,0,0
214,without_mask,maksssksksss535.xml,273,51,283,61,Unspecified,0,0,0
215,with_mask,maksssksksss535.xml,318,35,330,51,Unspecified,0,0,0
216,with_mask,maksssksksss535.xml,353,40,368,58,Unspecified,0,0,0
217,with_mask,maksssksksss428.xml,34,153,63,175,Unspecified,0,0,0
218,with_mask,maksssksksss428.xml,87,140,111,161,Unspecified,0,0,0
219,with_mask,maksssksksss428.xml,116,133,135,153,Unspecified,0,0,0
220,with_mask,maksssksksss428.xml,138,207,168,234,Unspecified,0,0,0
221,with_mask,maksssksksss428.xml,177,115,203,138,Unspecified,0,0,0
222,with_mask,maksssksksss428.xml,292,110,324,138,Unspecified,0,0,0
223,with_mask,maksssksksss428.xml,366,133,382,153,Unspecified,0,0,0
224,with_mask,maksssksksss428.xml,205,95,220,115,Unspecified,0,0,0
225,with_mask,maksssksksss428.xml,245,87,255,104,Unspecified,0,0,0
226,with_mask,maksssksksss428.xml,218,63,232,78,Unspecified,0,0,0
227,with_mask,maksssksksss428.xml,180,56,191,68,Unspecified,0,0,0
228,with_mask,maksssksksss428.xml,58,110,72,128,Unspecified,0,0,0
229,mask_weared_incorrect,maksssksksss428.xml,101,93,116,105,Unspecified,0,0,0
230,with_mask,maksssksksss428.xml,55,92,65,103,Unspecified,0,0,0
231,with_mask,maksssksksss428.xml,134,105,151,120,Unspecified,0,0,0
232,with_mask,maksssksksss428.xml,121,64,130,76,Unspecified,0,0,0
233,with_mask,maksssksksss428.xml,56,62,66,74,Unspecified,0,0,0
234,with_mask,maksssksksss428.xml,79,81,89,91,Unspecified,0,0,0
235,with_mask,maksssksksss428.xml,34,87,43,97,Unspecified,0,0,0
236,with_mask,maksssksksss428.xml,27,72,35,80,Unspecified,0,0,0
237,with_mask,maksssksksss428.xml,86,54,94,62,Unspecified,0,0,0
238,with_mask,maksssksksss770.xml,45,43,51,53,Unspecified,0,0,0
239,with_mask,maksssksksss770.xml,80,39,97,64,Unspecified,0,0,0
240,with_mask,maksssksksss770.xml,156,57,176,75,Unspecified,0,0,0
241,with_mask,maksssksksss770.xml,188,46,196,55,Unspecified,0,0,0
242,without_mask,maksssksksss770.xml,215,38,227,53,Unspecified,0,0,0
243,without_mask,maksssksksss770.xml,253,48,264,65,Unspecified,0,0,0
244,with_mask,maksssksksss770.xml,278,40,284,51,Unspecified,0,0,0
245,with_mask,maksssksksss770.xml,293,44,301,53,Unspecified,0,0,0
246,with_mask,maksssksksss405.xml,101,264,182,370,Unspecified,0,0,0
247,with_mask,maksssksksss711.xml,30,48,46,66,Unspecified,0,0,0
248,with_mask,maksssksksss711.xml,87,52,101,67,Unspecified,0,0,0
249,with_mask,maksssksksss711.xml,186,43,208,67,Unspecified,0,0,0
250,with_mask,maksssksksss711.xml,199,110,217,125,Unspecified,0,0,0
251,with_mask,maksssksksss711.xml,264,52,283,74,Unspecified,0,0,0
252,with_mask,maksssksksss711.xml,305,50,319,62,Unspecified,0,0,0
253,with_mask,maksssksksss711.xml,340,45,351,56,Unspecified,0,0,0
254,with_mask,maksssksksss711.xml,369,53,383,65,Unspecified,0,0,0
255,without_mask,maksssksksss217.xml,115,202,218,341,Unspecified,0,0,0
256,with_mask,maksssksksss794.xml,65,179,137,263,Unspecified,0,0,0
257,with_mask,maksssksksss794.xml,254,189,332,276,Unspecified,0,0,0
258,with_mask,maksssksksss396.xml,24,118,55,151,Unspecified,0,0,0
259,with_mask,maksssksksss396.xml,83,140,116,176,Unspecified,0,0,0
260,with_mask,maksssksksss396.xml,167,97,210,142,Unspecified,0,0,0
261,with_mask,maksssksksss396.xml,269,142,291,165,Unspecified,0,0,0
262,without_mask,maksssksksss396.xml,310,86,366,135,Unspecified,0,0,0
263,with_mask,maksssksksss583.xml,274,54,345,133,Unspecified,0,0,0
264,with_mask,maksssksksss583.xml,157,67,237,164,Unspecified,0,0,0
265,with_mask,maksssksksss583.xml,34,57,106,132,Unspecified,0,0,0
266,without_mask,maksssksksss209.xml,37,50,63,78,Unspecified,0,0,0
267,without_mask,maksssksksss209.xml,63,79,88,101,Unspecified,0,0,0
268,without_mask,maksssksksss209.xml,64,112,91,141,Unspecified,0,0,0
269,without_mask,maksssksksss209.xml,88,44,112,72,Unspecified,0,0,0
270,without_mask,maksssksksss209.xml,120,99,150,133,Unspecified,0,0,0
271,with_mask,maksssksksss209.xml,161,102,197,143,Unspecified,0,0,0
272,without_mask,maksssksksss209.xml,206,51,228,79,Unspecified,0,0,0
273,without_mask,maksssksksss209.xml,227,124,260,157,Unspecified,0,0,0
274,without_mask,maksssksksss209.xml,236,91,262,119,Unspecified,0,0,0
275,with_mask,maksssksksss209.xml,338,116,370,155,Unspecified,0,0,0
276,without_mask,maksssksksss209.xml,374,63,396,88,Unspecified,0,0,0
277,without_mask,maksssksksss209.xml,267,22,289,44,Unspecified,0,0,0
278,without_mask,maksssksksss209.xml,344,35,361,52,Unspecified,0,0,0
279,without_mask,maksssksksss209.xml,183,49,205,69,Unspecified,0,0,0
280,with_mask,maksssksksss247.xml,9,49,37,72,Unspecified,0,0,0
281,with_mask,maksssksksss247.xml,63,43,89,69,Unspecified,0,0,0
282,with_mask,maksssksksss247.xml,112,41,140,68,Unspecified,0,0,0
283,with_mask,maksssksksss247.xml,150,55,175,73,Unspecified,0,0,0
284,with_mask,maksssksksss247.xml,171,52,196,79,Unspecified,0,0,0
285,with_mask,maksssksksss247.xml,270,40,295,78,Unspecified,0,0,0
286,with_mask,maksssksksss247.xml,324,59,353,94,Unspecified,0,0,0
287,with_mask,maksssksksss247.xml,343,128,374,167,Unspecified,0,0,0
288,with_mask,maksssksksss247.xml,307,155,340,185,Unspecified,0,0,0
289,with_mask,maksssksksss247.xml,230,148,259,180,Unspecified,0,0,0
290,with_mask,maksssksksss247.xml,196,116,223,154,Unspecified,0,0,0
291,with_mask,maksssksksss247.xml,122,144,158,174,Unspecified,0,0,0
292,with_mask,maksssksksss247.xml,42,118,71,152,Unspecified,0,0,0
293,with_mask,maksssksksss260.xml,24,236,49,262,Unspecified,0,0,0
294,with_mask,maksssksksss260.xml,77,236,100,262,Unspecified,0,0,0
295,with_mask,maksssksksss260.xml,122,245,144,270,Unspecified,0,0,0
296,with_mask,maksssksksss260.xml,189,258,216,284,Unspecified,0,0,0
297,with_mask,maksssksksss260.xml,306,220,331,242,Unspecified,0,0,0
298,with_mask,maksssksksss260.xml,371,244,393,259,Unspecified,0,0,0
299,with_mask,maksssksksss260.xml,255,187,278,210,Unspecified,0,0,0
300,with_mask,maksssksksss260.xml,331,144,350,162,Unspecified,0,0,0
301,with_mask,maksssksksss260.xml,386,162,399,181,Unspecified,0,0,0
302,with_mask,maksssksksss260.xml,281,144,296,160,Unspecified,0,0,0
303,with_mask,maksssksksss260.xml,207,194,229,215,Unspecified,0,0,0
304,with_mask,maksssksksss260.xml,153,184,175,205,Unspecified,0,0,0
305,with_mask,maksssksksss260.xml,85,166,97,189,Unspecified,0,0,0
306,with_mask,maksssksksss260.xml,65,161,87,185,Unspecified,0,0,0
307,with_mask,maksssksksss260.xml,39,161,59,183,Unspecified,0,0,0
308,with_mask,maksssksksss260.xml,1,153,11,175,Unspecified,0,0,0
309,with_mask,maksssksksss260.xml,1,112,17,125,Unspecified,0,0,0
310,with_mask,maksssksksss260.xml,44,109,62,127,Unspecified,0,0,0
311,with_mask,maksssksksss260.xml,98,121,114,138,Unspecified,0,0,0
312,with_mask,maksssksksss260.xml,129,118,147,136,Unspecified,0,0,0
313,with_mask,maksssksksss260.xml,178,136,199,154,Unspecified,0,0,0
314,with_mask,maksssksksss260.xml,219,140,239,158,Unspecified,0,0,0
315,with_mask,maksssksksss260.xml,378,98,395,116,Unspecified,0,0,0
316,with_mask,maksssksksss260.xml,321,87,332,105,Unspecified,0,0,0
317,with_mask,maksssksksss260.xml,282,83,298,102,Unspecified,0,0,0
318,with_mask,maksssksksss260.xml,252,85,270,99,Unspecified,0,0,0
319,with_mask,maksssksksss260.xml,208,67,224,85,Unspecified,0,0,0
320,with_mask,maksssksksss260.xml,187,69,201,87,Unspecified,0,0,0
321,with_mask,maksssksksss260.xml,143,56,157,74,Unspecified,0,0,0
322,with_mask,maksssksksss260.xml,111,62,124,78,Unspecified,0,0,0
323,with_mask,maksssksksss260.xml,66,54,79,70,Unspecified,0,0,0
324,with_mask,maksssksksss260.xml,27,52,43,71,Unspecified,0,0,0
325,with_mask,maksssksksss260.xml,1,50,16,67,Unspecified,0,0,0
326,with_mask,maksssksksss260.xml,2,23,14,37,Unspecified,0,0,0
327,with_mask,maksssksksss260.xml,43,25,52,39,Unspecified,0,0,0
328,with_mask,maksssksksss260.xml,77,35,90,51,Unspecified,0,0,0
329,with_mask,maksssksksss260.xml,128,36,140,53,Unspecified,0,0,0
330,with_mask,maksssksksss260.xml,189,28,200,45,Unspecified,0,0,0
331,with_mask,maksssksksss260.xml,223,37,237,55,Unspecified,0,0,0
332,with_mask,maksssksksss260.xml,272,46,286,64,Unspecified,0,0,0
333,with_mask,maksssksksss260.xml,308,39,324,58,Unspecified,0,0,0
334,with_mask,maksssksksss260.xml,354,50,368,67,Unspecified,0,0,0
335,with_mask,maksssksksss260.xml,390,55,400,73,Unspecified,0,0,0
336,with_mask,maksssksksss260.xml,321,12,333,26,Unspecified,0,0,0
337,with_mask,maksssksksss260.xml,290,14,304,29,Unspecified,0,0,0
338,with_mask,maksssksksss260.xml,251,11,264,28,Unspecified,0,0,0
339,with_mask,maksssksksss260.xml,235,1,245,13,Unspecified,0,0,0
340,with_mask,maksssksksss260.xml,200,11,213,25,Unspecified,0,0,0
341,with_mask,maksssksksss260.xml,173,13,186,25,Unspecified,0,0,0
342,with_mask,maksssksksss260.xml,146,8,159,22,Unspecified,0,0,0
343,with_mask,maksssksksss260.xml,110,3,125,17,Unspecified,0,0,0
344,with_mask,maksssksksss260.xml,66,11,76,22,Unspecified,0,0,0
345,with_mask,maksssksksss260.xml,40,1,50,15,Unspecified,0,0,0
346,with_mask,maksssksksss297.xml,102,17,112,31,Unspecified,0,0,0
347,with_mask,maksssksksss297.xml,87,26,103,41,Unspecified,0,0,0
348,with_mask,maksssksksss297.xml,50,125,82,156,Unspecified,0,0,0
349,with_mask,maksssksksss297.xml,123,102,148,130,Unspecified,0,0,0
350,with_mask,maksssksksss297.xml,157,57,179,82,Unspecified,0,0,0
351,with_mask,maksssksksss297.xml,157,4,165,12,Unspecified,0,0,0
352,with_mask,maksssksksss297.xml,180,7,187,17,Unspecified,0,0,0
353,with_mask,maksssksksss297.xml,217,13,229,24,Unspecified,0,0,0
354,with_mask,maksssksksss297.xml,207,44,228,68,Unspecified,0,0,0
355,with_mask,maksssksksss297.xml,216,81,241,108,Unspecified,0,0,0
356,with_mask,maksssksksss297.xml,250,43,273,67,Unspecified,0,0,0
357,without_mask,maksssksksss297.xml,294,22,306,35,Unspecified,0,0,0
358,with_mask,maksssksksss297.xml,318,27,332,44,Unspecified,0,0,0
359,with_mask,maksssksksss297.xml,310,5,321,17,Unspecified,0,0,0
360,with_mask,maksssksksss297.xml,334,3,348,16,Unspecified,0,0,0
361,with_mask,maksssksksss297.xml,354,10,367,20,Unspecified,0,0,0
362,with_mask,maksssksksss282.xml,175,55,215,93,Unspecified,0,0,0
363,with_mask,maksssksksss282.xml,8,169,73,251,Unspecified,0,0,0
364,with_mask,maksssksksss282.xml,127,185,178,235,Unspecified,0,0,0
365,with_mask,maksssksksss282.xml,265,185,290,226,Unspecified,0,0,0
